Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Team,Country,Season
IR Jaggi,2,2,1,33,28,33.00,39,84.61,0,0,0,3,0,KKR,IND,2017
RV Uthappa,14,13,0,388,87,29.84,235,165.1,0,5,1,36,21,KKR,IND,2017
SP Jackson,4,3,1,38,16,19.00,31,122.58,0,0,0,5,0,KKR,IND,2017
YK Pathan,15,11,3,143,59,17.87,115,124.34,0,1,1,9,6,KKR,IND,2017
SA Yadav,10,7,1,105,31,17.50,88,119.31,0,0,0,8,3,KKR,IND,2017
SP Narine,16,14,1,224,54,17.23,130,172.3,0,1,2,34,10,KKR,WI,2017
C de Grandhomme,12,9,1,126,36,15.75,92,136.95,0,0,3,10,6,KKR,NZ,2017
CR Woakes,13,7,3,46,18,11.50,47,97.87,0,0,0,4,1,KKR,ENG,2017
Kuldeep Yadav,12,2,0,20,16,10.00,22,90.9,0,0,0,2,0,KKR,IND,2017
NM Coulter-Nile,8,3,0,14,6,4.66,12,116.66,0,0,0,0,2,KKR,AUS,2017
AS Rajpoot,5,1,0,4,4,4.00,7,57.14,0,0,0,1,0,KKR,IND,2017
PP Chawla,6,1,0,2,2,2.00,6,33.33,0,0,0,0,0,KKR,IND,2017
UT Yadav,14,4,4,10,4*,-,13,76.92,0,0,0,0,0,KKR,IND,2017
DM Bravo,1,1,1,6,6*,-,5,120.0,0,0,0,1,0,KKR,WI,2017
TA Boult,6,1,1,5,5*,-,8,62.5,0,0,0,0,0,KKR,NZ,2017
Shakib Al Hasan,1,1,1,1,1*,-,1,100.0,0,0,0,0,0,KKR,BD,2017
SS Tiwary,1,1,0,52,52,52.00,43,120.93,0,1,0,9,0,MI,IND,2017
HH Pandya,17,16,9,250,35*,35.71,160,156.25,0,0,0,11,20,MI,IND,2017
KH Pandya,13,11,4,243,47,34.71,179,135.75,0,0,0,24,7,MI,IND,2017
N Rana,13,12,1,333,62*,30.27,264,126.13,0,3,0,24,17,MI,IND,2017
KA Pollard,17,16,3,385,70,29.61,276,139.49,0,3,0,26,22,MI,WI,2017
JC Buttler,10,10,0,272,77,27.20,177,153.67,0,1,0,27,15,MI,ENG,2017
PA Patel,16,16,0,395,70,24.68,293,134.81,0,2,2,49,8,MI,IND,2017
RG Sharma,17,16,2,333,67,23.78,273,121.97,0,3,1,31,9,MI,IND,2017
LMP Simmons,7,7,0,137,66,19.57,112,122.32,0,2,1,10,8,MI,WI,2017
AT Rayudu,5,5,0,91,63,18.20,78,116.66,0,1,1,7,3,MI,IND,2017
JJ Bumrah,16,2,1,16,16*,16.00,12,133.33,0,0,1,0,1,MI,IND,2017
KV Sharma,9,6,0,49,19,8.16,41,119.51,0,0,0,5,2,MI,IND,2017
Harbhajan Singh,11,7,5,16,7*,8.00,16,100.00,0,0,1,0,1,MI,IND,2017
TG Southee,3,1,0,7,7,7.00,3,233.33,0,0,0,0,1,MI,NZ,2017
MJ McClenaghan,14,7,3,16,12,4.00,15,106.66,0,0,2,0,1,MI,NZ,2017
MG Johnson,5,3,3,20,13*,-,17,117.64,0,0,0,1,1,MI,AUS,2017
SL Malinga,12,2,2,7,7*,-,3,233.33,0,0,0,0,1,MI,SL,2017
R Vinay Kumar,1,-,-,-,-,-,-,-,-,-,-,-,-,MI,IND,2017
SPD Smith,15,15,3,472,84*,39.33,387,121.96,0,3,0,38,12,RPS,AUS,2017
MK Tiwary,15,13,3,324,60,32.40,236,137.28,0,2,1,31,11,RPS,IND,2017
BA Stokes,12,11,1,316,103*,31.60,221,142.98,1,1,0,22,15,RPS,ENG,2017
RA Tripathi,14,14,0,391,93,27.92,267,146.44,0,2,1,43,17,RPS,IND,2017
MS Dhoni,16,15,4,290,61*,26.36,250,116.0,0,1,0,15,16,RPS,IND,2017
AM Rahane,16,16,1,382,60,25.46,323,118.26,0,2,2,35,9,RPS,IND,2017
Ankit Sharma,1,1,0,25,25,25.00,15,166.66,0,0,0,2,1,RPS,IND,2017
R Bhatia,3,2,1,16,16,16.00,17,94.11,0,0,0,0,1,RPS,IND,2017
DT Christian,13,9,4,79,17*,15.80,49,161.22,0,0,0,5,5,RPS,AUS,2017
DL Chahar,3,1,0,14,14,14.00,6,233.33,0,0,0,0,2,RPS,IND,2017
Washington Sundar,11,5,4,9,5*,9.00,12,75.0,0,0,1,0,0,RPS,IND,2017
MA Agarwal,3,3,0,26,20,8.66,27,96.29,0,0,1,3,0,RPS,IND,2017
F du Plessis,2,1,0,8,8,8.00,7,114.28,0,0,0,1,0,RPS,RSA,2017
AB Dinda,3,1,0,7,7,7.00,7,100.0,0,0,0,1,0,RPS,IND,2017
A Zampa,6,1,0,5,5,5.00,7,71.42,0,0,0,1,0,RPS,AUS,2017
SN Thakur,12,3,0,0,0,0.00,3,0.0,0,0,3,0,0,RPS,IND,2017
RD Chahar,3,1,1,3,3*,-,2,150.0,0,0,0,0,0,RPS,IND,2017
